product_name_langs,product_name_texts,additives_n,complete,completeness,created_t,ingredients_from_palm_oil_n,ingredients_n,ingredients_percent_analysis,ingredients_with_specified_percent_n,ingredients_with_unspecified_percent_n,ingredients_without_ciqual_codes_n,known_ingredients_n,last_modified_t,last_updated_t,nova_group,popularity_key,rev,unknown_ingredients_n,schema_version,prediction
main | en,"Cape cod, kettle cooked potato chips, roasted black garlic | Cape cod, kettle cooked potato chips, roasted black garlic",2.0,0.0,0.5,1.489138213E9,0.0,13.0,1.0,0.0,13.0,5.0,24.0,1.587630662E9,1.734793799E9,4.0,0.0,2.0,1.0,999.0,1
main | en,Premium Black Tea Blend | Premium Black Tea Blend,0.0,0.0,0.6000000238418579,1.489135973E9,0.0,6.0,1.0,0.0,6.0,4.0,11.0,1.74027209E9,1.74027209E9,4.0,0.0,3.0,0.0,999.0,1
main | en,LEG STYLE IMITATION CRABMEAT | LEG STYLE IMITATION CRABMEAT,2.0,0.0,0.675000011920929,1.489090396E9,0.0,16.0,1.0,0.0,14.0,6.0,12.0,1.764868818E9,1.764868818E9,4.0,5.0,11.0,4.0,1002.0,1
main | en,"Safeway kitchens, instant multigrain oatmeal cup, strawberry almond | Safeway kitchens, instant multigrain oatmeal cup, strawberry almond",0.0,0.0,0.5,1.489078272E9,0.0,10.0,1.0,0.0,10.0,4.0,20.0,1.587589723E9,1.734800425E9,4.0,0.0,2.0,2.0,999.0,1
main | en,"Refreshe, ice sparkling green tea, mango | Refreshe, ice sparkling green tea, mango",7.0,0.0,0.5,1.489142978E9,0.0,24.0,1.0,0.0,17.0,19.0,29.0,1.587635106E9,1.734792322E9,4.0,0.0,4.0,2.0,999.0,0
main | en,Thousand Island Dressing & Spread | Thousand Island Dressing & Spread,10.0,0.0,0.6625000238418579,1.466712213E9,0.0,42.0,1.0,0.0,34.0,19.0,45.0,1.651718628E9,1.738752312E9,4.0,1.0,8.0,4.0,999.0,0
main | en,Vinaigrette Dressing | Vinaigrette Dressing,2.0,0.0,0.6000000238418579,1.489143005E9,0.0,18.0,1.0,0.0,16.0,10.0,27.0,1.740273449E9,1.740273449E9,4.0,0.0,3.0,4.0,999.0,1
main | en,Macaroni & cheese shells dinner | Macaroni & cheese shells dinner,3.0,0.0,0.5,1.489090452E9,0.0,53.0,1.0,0.0,40.0,21.0,48.0,1.773526768E9,1.773526768E9,4.0,1.0,4.0,5.0,1003.0,0
main | en,Fruit & Nut Bar | Fruit & Nut Bar,0.0,0.0,0.6000000238418579,1.489140824E9,0.0,3.0,1.0,0.0,3.0,0.0,6.0,1.740274208E9,1.740274208E9,3.0,0.0,4.0,0.0,999.0,1
main | en,"Double rainbow, super premium sorbet, lemon | Double rainbow, super premium sorbet, lemon",2.0,0.0,0.5,1.489055666E9,0.0,9.0,1.0,0.0,8.0,6.0,16.0,1.587573363E9,1.734810052E9,4.0,0.0,2.0,2.0,999.0,1
main | en,"The Wisconsin Cheeseman, Incredible Spreadables, Cream Cheese & Salad Dressing With Natural Shrimp Flavor, Shrimp Flavor | The Wisconsin Cheeseman, Incredible Spreadables, Cream Cheese & Salad Dressing With Natural Shrimp Flavor, Shrimp Flavor",2.0,0.0,0.5,1.489078211E9,0.0,24.0,1.0,0.0,22.0,11.0,33.0,1.587589665E9,1.734800455E9,4.0,0.0,2.0,8.0,999.0,0
main | en,"Frosted Flakes, Corn Cereal | Frosted Flakes, Corn Cereal",0.0,0.0,0.5,1.489053693E9,0.0,27.0,1.0,0.0,21.0,23.0,25.0,1.772639041E9,1.772639041E9,3.0,0.0,3.0,2.0,1003.0,1
main | en,Pear Halves | Pear Halves,0.0,0.0,0.6000000238418579,1.489139616E9,0.0,5.0,1.0,0.0,5.0,1.0,12.0,1.740274978E9,1.740274978E9,4.0,0.0,5.0,0.0,999.0,1
main | en,Crushed With Natural Sea Salt In Tomato Puree | Crushed With Natural Sea Salt In Tomato Puree,1.0,0.0,0.6625000238418579,1.48906088E9,0.0,5.0,1.0,0.0,5.0,3.0,4.0,1.769010975E9,1.771284445E9,3.0,4.0,10.0,1.0,1002.0,1
